dataset,DT,GB,KNN,Linear,RF,SVR
a1,3361.5741399999997,2165.2747262321564,2592.0828844000002,794425.7628552222,2256.0048653954996,4726.019713741338
a2,2006.4986250000002,1648.7175810781296,1777.8172559999998,4050131.8011045605,1625.3984704289999,2264.3476586768497
a3,922.6384350000001,702.3313952293281,703.4010496000001,52356.49032744417,694.2399392315,981.6895749052486
a7,547.591405,421.79097905097535,514.9410052000001,5606606.868292983,394.744202214,556.9042749779007
abalone,1992.672,1467.4731165847006,2056.07362,2326.0884077790706,1286.8057476,2150.8909677359816
acceleration,85.85985569444445,38.93301042319737,127.14159060000001,174.1420360844013,36.84462792249951,145.6218407749778
airfoild,105748986.90143,9757583021.80796,29652158712.528217,160374978147.00616,183183478.7159725,205473641220.62192
analcatdata_apnea3,60172954.5685,43037877.7202328,53090853.14384,244399260.8034461,39685148.549632505,478786548.20852864
available_power,7876.918762072572,5480.953885781521,19240.426880000003,229551.43068641896,5187.847040967701,193688.16897865853
boston,484.637165,306.1022501433537,1172.0642616,856.1152508123262,340.5226851709999,1695.5757901695604
california,3668010200454.815,3073991479652.7554,3821795062329.979,4983281414670.403,2317297105890.2266,19133559689206.367
cocomo_numeric,824183.7796,314838.59860623686,2086679.871896,439320.5057160285,525585.9244335891,2885091.0017179423
compactiv,3006.61,1652.9765638959257,14354.76718,51324.6104274725,1772.9115143,62327.21733919879
concreteStrength,563.8697323680556,218.623601601759,588.7992750739999,773.7723404018641,236.70816946611785,888.8028711611053
cpu_small,4041.647,2437.029316516057,5641.86524,53728.82878261424,2554.57204265,44185.19217957322
debutanizer,1.1377617071318342,1.2116400601684005,0.6001840398244808,2.926575335754019,0.5767977391951331,1.2089016569683853
forestFires,221875.16643004995,205013.0609783134,221216.51306680604,200231.148141176,205206.76511578826,216047.5925422297
fuel_consumption_country,38.908471250000005,19.563162880948443,66.72273279999999,869.9863236721212,18.4284845543021,68.31445443825172
heat,2556.9891569500005,4773.111595694434,2018.703101474,76146.14292359982,1533.870463660446,67510.32161496702
kdd_coil_1,4434.765399999999,1697.1340519844985,3145.6721532,2634.7983567595957,1822.6354701169996,4908.309777521705
lungcancer_shedden,195.6001606854166,131.6683325730604,164.52353875238887,121.47929320860321,130.05013367565815,184.57045263134665
maximal_torque,13540.119999999999,5451.407248769293,95792.4455,58584046.29086991,7367.973160100004,689175.7377234369
meta,31890058.1592144,32714434.851943344,32131270.00770129,27124325.353526093,30484222.20213016,31171447.735409033
mortgage,3.0647985,1.2311553833208948,2.279083818000002,0.8658908873728819,1.6217445283000056,1.4610319152330251
pdgfr,0.00211234364709749,0.0012686614917824998,0.00161589168605939,0.04384248525425897,0.0013139830443384,0.00142598788465172
sensory,4.91825,4.537518731776636,7.455265,7.948971991945301,4.245240162499999,6.296942474233266
space_ga,2.7076194620714267,1.8823317853236403,2.169412591025792,1.876586397141677,1.991101086221007,1.5013149017607634
treasury,6.791187350000001,3.3693380420798653,3.8483232240000036,2.802566468534136,3.2144361036799878,4.5472699008512665
triazines,0.14625379837499997,0.14928638921434545,0.20688358840000004,0.21432715853983847,0.12966264906712793,0.1887787729083556
wine_quality,237.0465,209.10284552953522,196.79672,259.4619156575054,160.62021694999999,205.1758607314479
