dataset,DT,GB,KNN,Linear,RF,SVR
a1,3314.08732,1865.5592230971822,2486.1477146,1403810.8455471448,1626.7530088365002,1387.7900242041976
a2,2251.225595,1796.6455064586335,1493.6212752,14927351.723508101,1464.6148273519996,1084.5162524145487
a3,642.92169,596.5137121796553,569.435856,2355744.3771170652,488.35340747299995,490.7971173859538
a7,595.112705,378.77345505700214,449.13930740000006,80175339.22173919,339.6728367649997,405.22841796478275
abalone,1885.4095000000002,1057.0833211522681,1727.6761599999998,1838.830675331661,1061.1643288,1373.929491187402
acceleration,73.12696055555556,30.79474101841957,76.6981204,108.56567447588603,35.95518784181338,79.10277598718572
airfoild,138138903.22135,2255835067.9897876,12606559794.454765,83621284015.90967,126572299.01091447,169410690506.17337
analcatdata_apnea3,61509156.651999995,51550606.24304746,50244331.81224,216964672.25864315,54749012.0240234,447071347.63676584
available_power,9171.625864502259,6233.719135679406,9876.8715,299919.40974970063,6023.185131142598,66378.09363728417
boston,656.890095,307.3703105320541,891.4173908,632.8143666245476,298.8364777244999,1163.621952350831
california,3455606010229.3438,1808702327757.3313,2918784955245.1357,2661977554857.736,1856120815652.5671,4521803111016.775
cocomo_numeric,876703.2223000001,475190.44888893486,1237577.8633256,229833.7928149368,592154.0186985976,1861279.761095771
compactiv,3005.126,1284.5408053275287,9368.04832,21155.695415609567,1664.13238675,18632.422123286808
concreteStrength,202.76533556157636,143.0814191942083,321.44545649200006,451.4003127237546,236.07653625378217,296.87398055518963
cpu_small,3986.182,1983.4019204658416,3739.02972,22640.13804325008,2375.5112163500003,8860.40134806708
debutanizer,0.8142985722350256,0.556169847777228,0.22829348372694058,1.5088820193623937,0.3290994606395202,0.4725500153409958
forestFires,242214.39072847218,192937.55464455788,361684.32265673595,186287.99918428605,205074.34967946733,202971.88043533455
fuel_consumption_country,36.21003,20.546370447561895,39.866609999999994,1312.0706040275422,18.3220344844051,44.65340166708069
heat,3179.7050504,3678.411905666643,1474.7658506520006,38376.64013661492,1544.7857725430624,17186.348048111508
kdd_coil_1,3064.4745000000003,1942.8119472677354,2398.0699942,1966.0461700325636,1434.080503645999,1845.993643468209
lungcancer_shedden,148.67011579375003,103.54655231678362,106.02495476601385,75.86380624178581,92.41948938527295,74.59117621383228
maximal_torque,15033.988500000001,4621.047133781715,49157.668040000004,47489651.92854108,6876.1464496,302481.5337583597
meta,31556135.22009778,29606120.409166604,69385922.53116807,30886193.140216846,30387615.681414325,30814010.577950437
mortgage,2.5816045999999995,1.1404146765834873,1.3344562759999992,0.7665673983699716,1.7241501800450056,0.49575176161509393
pdgfr,0.00289834959028499,0.00218044284649952,0.00230779912236463,0.060930066883240784,0.0020072712316826597,0.0017948695417964798
sensory,5.271875,3.703162931646532,8.545550000000002,7.667814423345071,3.9176025249999986,5.526583625562652
space_ga,2.5521574425290425,1.5829133876496113,2.009049175426735,1.5304193666204282,1.8945378112258027,1.147136576950357
treasury,4.110870049999997,3.1706277263680667,3.9866990799999975,2.7611568551009382,3.3513739775100033,2.7166294613808826
triazines,0.18171847074999997,0.09873038083611109,0.16406621642,0.1798294094810677,0.10309008463459365,0.16537708968834292
wine_quality,251.916,173.18841922084917,187.52952,234.2415753674301,140.74861495,170.94582104764285
