dataset,DT,GB,KNN,Linear,RF,SVR
a1,5.0,3.0,4.0,6.0,2.0,1.0
a2,5.0,4.0,3.0,6.0,2.0,1.0
a3,5.0,4.0,3.0,6.0,1.0,2.0
a7,5.0,2.0,4.0,6.0,1.0,3.0
abalone,6.0,1.0,4.0,5.0,2.0,3.0
acceleration,3.0,1.0,4.0,6.0,2.0,5.0
airfoild,2.0,3.0,4.0,5.0,1.0,6.0
analcatdata_apnea3,4.0,2.0,1.0,5.0,3.0,6.0
available_power,3.0,2.0,4.0,6.0,1.0,5.0
boston,4.0,2.0,5.0,3.0,1.0,6.0
california,5.0,1.0,4.0,3.0,2.0,6.0
cocomo_numeric,4.0,2.0,5.0,1.0,3.0,6.0
compactiv,3.0,1.0,4.0,6.0,2.0,5.0
concreteStrength,2.0,1.0,5.0,6.0,3.0,4.0
cpu_small,4.0,1.0,3.0,6.0,2.0,5.0
debutanizer,5.0,4.0,1.0,6.0,2.0,3.0
forestFires,5.0,2.0,6.0,1.0,4.0,3.0
fuel_consumption_country,3.0,2.0,4.0,6.0,1.0,5.0
heat,3.0,4.0,1.0,6.0,2.0,5.0
kdd_coil_1,6.0,3.0,5.0,4.0,1.0,2.0
lungcancer_shedden,6.0,4.0,5.0,2.0,3.0,1.0
maximal_torque,3.0,1.0,4.0,6.0,2.0,5.0
meta,5.0,1.0,6.0,4.0,2.0,3.0
mortgage,6.0,3.0,4.0,2.0,5.0,1.0
pdgfr,5.0,3.0,4.0,6.0,2.0,1.0
sensory,3.0,1.0,6.0,5.0,2.0,4.0
space_ga,6.0,3.0,5.0,2.0,4.0,1.0
treasury,6.0,3.0,5.0,2.0,4.0,1.0
triazines,6.0,1.0,3.0,5.0,2.0,4.0
wine_quality,6.0,3.0,4.0,5.0,1.0,2.0
