dataset,abordagem,spearman,auc_perda,perda_t1,perda_t2,perda_t3,perda_t4,perda_t5,perda_t6
a1,AR,0.8285714285714287,1.908676513234783e-05,0.00011452059079408697,0.0,0.0,0.0,0.0,0.0
a1,MR,0.9276336570439174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a1,Vitorias_Significativas,0.8285714285714287,1.908676513234783e-05,0.00011452059079408697,0.0,0.0,0.0,0.0,0.0
a1,Abordagem_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a1,Abordagem_2,0.8857142857142858,1.908676513234783e-05,0.00011452059079408697,0.0,0.0,0.0,0.0,0.0
a1,HARRIS_lambda=0.0,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a1,HARRIS_lambda=0.25,0.8285714285714287,1.908676513234783e-05,0.00011452059079408697,0.0,0.0,0.0,0.0,0.0
a1,HARRIS,0.8285714285714287,1.908676513234783e-05,0.00011452059079408697,0.0,0.0,0.0,0.0,0.0
a1,HARRIS_lambda=0.75,0.8285714285714287,1.908676513234783e-05,0.00011452059079408697,0.0,0.0,0.0,0.0,0.0
a1,HARRIS_lambda=1.0,0.8285714285714287,1.908676513234783e-05,0.00011452059079408697,0.0,0.0,0.0,0.0,0.0
a2,AR,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2,MR,0.9276336570439174,9.599882166403003e-07,5.759929299841802e-06,0.0,0.0,0.0,0.0,0.0
a2,Vitorias_Significativas,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2,Abordagem_1,0.8857142857142858,9.599882166403003e-07,5.759929299841802e-06,0.0,0.0,0.0,0.0,0.0
a2,Abordagem_2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2,HARRIS_lambda=0.0,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2,HARRIS_lambda=0.25,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2,HARRIS,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2,HARRIS_lambda=0.75,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2,HARRIS_lambda=1.0,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a3,AR,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a3,MR,0.9276336570439174,2.610370221010955e-05,0.0001566222132606573,0.0,0.0,0.0,0.0,0.0
a3,Vitorias_Significativas,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a3,Abordagem_1,0.8857142857142858,2.610370221010955e-05,0.0001566222132606573,0.0,0.0,0.0,0.0,0.0
a3,Abordagem_2,0.9856107606091624,2.610370221010955e-05,0.0001566222132606573,0.0,0.0,0.0,0.0,0.0
a3,HARRIS_lambda=0.0,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a3,HARRIS_lambda=0.25,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a3,HARRIS,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a3,HARRIS_lambda=0.75,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a3,HARRIS_lambda=1.0,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a7,AR,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a7,MR,0.9276336570439174,8.040716333449445e-07,4.824429800069667e-06,0.0,0.0,0.0,0.0,0.0
a7,Vitorias_Significativas,0.9276336570439174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a7,Abordagem_1,0.8857142857142858,8.040716333449445e-07,4.824429800069667e-06,0.0,0.0,0.0,0.0,0.0
a7,Abordagem_2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a7,HARRIS_lambda=0.0,0.6,4.5439832160824994e-06,2.7263899296495e-05,0.0,0.0,0.0,0.0,0.0
a7,HARRIS_lambda=0.25,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a7,HARRIS,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a7,HARRIS_lambda=0.75,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a7,HARRIS_lambda=1.0,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abalone,AR,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abalone,MR,0.9710083124552246,0.028973088186546436,0.1738385291192786,0.0,0.0,0.0,0.0,0.0
abalone,Vitorias_Significativas,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abalone,Abordagem_1,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abalone,Abordagem_2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abalone,HARRIS_lambda=0.0,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abalone,HARRIS_lambda=0.25,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abalone,HARRIS,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abalone,HARRIS_lambda=0.75,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abalone,HARRIS_lambda=1.0,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acceleration,AR,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acceleration,MR,0.9710083124552246,0.0025351079439596682,0.01521064766375801,0.0,0.0,0.0,0.0,0.0
acceleration,Vitorias_Significativas,0.8857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acceleration,Abordagem_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acceleration,Abordagem_2,0.942857142857143,0.0025351079439596682,0.01521064766375801,0.0,0.0,0.0,0.0,0.0
acceleration,HARRIS_lambda=0.0,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acceleration,HARRIS_lambda=0.25,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acceleration,HARRIS,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acceleration,HARRIS_lambda=0.75,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acceleration,HARRIS_lambda=1.0,0.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airfoild,AR,0.6571428571428573,0.00018852628561434915,0.00037705257122869825,0.00037705257122869825,0.00037705257122869825,0.0,0.0,0.0
airfoild,MR,0.6767633692869747,0.007958646725697367,0.0469977752117268,0.00037705257122869825,0.00037705257122869825,0.0,0.0,0.0
airfoild,Vitorias_Significativas,0.6571428571428573,0.00018852628561434915,0.00037705257122869825,0.00037705257122869825,0.00037705257122869825,0.0,0.0,0.0
airfoild,Abordagem_1,0.8285714285714287,0.00012568419040956608,0.00037705257122869825,0.00037705257122869825,0.0,0.0,0.0,0.0
airfoild,Abordagem_2,0.7714285714285715,0.00012568419040956608,0.00037705257122869825,0.00037705257122869825,0.0,0.0,0.0,0.0
airfoild,HARRIS_lambda=0.0,0.8285714285714287,0.00012568419040956608,0.00037705257122869825,0.00037705257122869825,0.0,0.0,0.0,0.0
airfoild,HARRIS_lambda=0.25,0.8285714285714287,0.00012568419040956608,0.00037705257122869825,0.00037705257122869825,0.0,0.0,0.0,0.0
airfoild,HARRIS,0.8285714285714287,0.00012568419040956608,0.00037705257122869825,0.00037705257122869825,0.0,0.0,0.0,0.0
airfoild,HARRIS_lambda=0.75,0.8285714285714287,0.00012568419040956608,0.00037705257122869825,0.00037705257122869825,0.0,0.0,0.0,0.0
