dataset,algoritmo,fold,sera
a1,Linear,0,42.98460852997598
a1,KNN,0,52.40395000000001
a1,SVR,0,67.34279616100899
a1,DT,0,139.293
a1,RF,0,33.81115589
a1,GB,0,31.4672604295576
a1,Linear,1,2235.749092228633
a1,KNN,1,1741.1330800000005
a1,SVR,1,4310.730975713088
a1,DT,1,3634.3002500000007
a1,RF,1,1842.9284154449995
a1,GB,1,2822.826698901906
a1,Linear,2,3950.9918279499466
a1,KNN,2,3402.852090000001
a1,SVR,2,7143.4540880453405
a1,DT,2,6955.806200000002
a1,RF,2,4147.607476594999
a1,GB,2,4301.446599064513
a1,Linear,3,2667.4085535409345
a1,KNN,3,2082.6005360000004
a1,SVR,3,5359.893194758633
a1,DT,3,1925.1775499999997
a1,RF,3,707.1582016650002
a1,GB,3,854.2063655944091
a1,Linear,4,47.03966038652043
a1,KNN,4,56.128491999999994
a1,SVR,4,40.87798747467936
a1,DT,4,27.705150000000003
a1,RF,4,28.561469850000012
a1,GB,4,28.785950232814244
a1,Linear,5,56.96554310473299
a1,KNN,5,48.14050399999999
a1,SVR,5,69.00441399978848
a1,DT,5,52.662850000000006
a1,RF,5,33.58587257999999
a1,GB,5,38.233859532868244
a1,Linear,6,2875.905444859126
a1,KNN,6,1904.3042200000004
a1,SVR,6,4797.78671407778
a1,DT,6,4366.70075
a1,RF,6,1653.7162325550005
a1,GB,6,1990.010211460713
a1,Linear,7,17.766841067227332
a1,KNN,7,25.005965999999994
a1,SVR,7,19.303164348038987
a1,DT,7,28.209400000000006
a1,RF,7,17.796723169999993
a1,GB,7,19.75884542674575
a1,Linear,8,6992.384559282828
a1,KNN,8,6595.942265999998
a1,SVR,8,11547.961715593236
a1,DT,8,9014.888899999998
a1,RF,8,7287.747210615
a1,GB,8,7333.311844831009
a1,Linear,9,7925370.432421273
a1,KNN,9,10012.317739999999
a1,SVR,9,13903.842087241786
a1,DT,9,7470.9973500000015
a1,RF,9,6807.13589559
a1,GB,9,4232.699626847031
a2,Linear,0,738.8848647790992
a2,KNN,0,775.7967340000001
a2,SVR,0,1076.1462804713672
a2,DT,0,779.2047000000001
a2,RF,0,500.8677329450001
a2,GB,0,485.6212345200615
a2,Linear,1,456.6536094396946
a2,KNN,1,941.1499100000001
a2,SVR,1,1675.0676653024072
a2,DT,1,2012.0610499999996
a2,RF,1,583.0400162699999
a2,GB,1,520.6357733447742
a2,Linear,2,2012.8070989734804
a2,KNN,2,1781.609114
a2,SVR,2,2272.9017665332003
a2,DT,2,1384.8823999999997
a2,RF,2,1153.712106214999
a2,GB,2,1113.576450430512
a2,Linear,3,8936.275884932427
a2,KNN,3,8289.894515999998
a2,SVR,3,9053.137548530996
a2,DT,3,8125.39485
a2,RF,3,8432.506085055
a2,GB,3,7972.205499412464
a2,Linear,4,1636.2231243569543
a2,KNN,4,1842.4210699999999
a2,SVR,4,2016.8054412282822
a2,DT,4,1243.2145
a2,RF,4,1011.7189353149994
a2,GB,4,1211.0953770450224
a2,Linear,5,496.683002631591
a2,KNN,5,967.450074
a2,SVR,5,1500.668338586578
a2,DT,5,204.79315000000003
a2,RF,5,882.3541974449994
a2,GB,5,1102.7694516613667
a2,Linear,6,1395.6136189737035
a2,KNN,6,1377.2169860000001
a2,SVR,6,2062.8920535125417
a2,DT,6,2654.0649
a2,RF,6,1643.7706204100007
a2,GB,6,1879.2849783287309
a2,Linear,7,1916.9647074771783
a2,KNN,7,1361.9695820000004
a2,SVR,7,2579.3166127135823
a2,DT,7,2263.8285000000005
a2,RF,7,1774.870856485
a2,GB,7,1880.5877613681616
a2,Linear,8,3.898384384933998
a2,KNN,8,3.53565
a2,SVR,8,3.6591109802016377
a2,DT,8,6.640300000000001
a2,RF,8,3.343904875
a2,GB,8,5.427020240308589
a2,Linear,9,40483724.00674965
a2,KNN,9,437.12892400000004
a2,SVR,9,402.8817689093415
a2,DT,9,1390.9018999999998
a2,RF,9,267.80024927500017
a2,GB,9,315.97226442989404
a3,Linear,0,2000.9758033327694
a3,KNN,0,2292.566994
a3,SVR,0,2327.159880452582
a3,DT,0,2265.7331
a3,RF,0,2187.3818193249995
a3,GB,0,2061.8486836762113
a3,Linear,1,652.3688039356235
a3,KNN,1,425.60522199999997
a3,SVR,1,1243.489660206335
a3,DT,1,494.6905500000001
a3,RF,1,520.1260126299998
a3,GB,1,604.1895713650864
a3,Linear,2,136.1702504556719
a3,KNN,2,55.943988
a3,SVR,2,250.94125108694104
a3,DT,2,449.51895
a3,RF,2,145.64292981999995
a3,GB,2,196.9948094952916
a3,Linear,3,941.4941146458473
a3,KNN,3,1259.846324
a3,SVR,3,1688.6596662903112
a3,DT,3,1297.24845
a3,RF,3,1081.2156123150003
a3,GB,3,1108.356034119724
a3,Linear,4,315.03696976042903
a3,KNN,4,283.492266
a3,SVR,4,573.9823439621517
a3,DT,4,431.8565
a3,RF,4,415.49335456
a3,GB,4,362.104405393731
a3,Linear,5,923.0158695756234
a3,KNN,5,925.4902679999999
a3,SVR,5,1288.8644414723612
a3,DT,5,1301.80505
a3,RF,5,979.9772426200002
a3,GB,5,871.6554430349586
a3,Linear,6,189.87255572630016
a3,KNN,6,219.55730200000002
a3,SVR,6,464.6397359418135
a3,DT,6,608.2218000000001
a3,RF,6,121.95727037000003
a3,GB,6,169.52563107771053
a3,Linear,7,528.2284603389747
a3,KNN,7,596.434198
a3,SVR,7,604.9556043929972
a3,DT,7,929.4926500000001
a3,RF,7,583.194767425
a3,GB,7,525.8669351548391
a3,Linear,8,678.214743193635
a3,KNN,8,683.9181840000002
a3,SVR,8,949.891491548972
a3,DT,8,1305.0990000000002
a3,RF,8,641.3076161299999
a3,GB,8,804.3525965163951
a3,Linear,9,517199.5257034768
a3,KNN,9,291.15575
a3,SVR,9,424.31167369802176
a3,DT,9,142.71829999999997
a3,RF,9,266.1027671199999
a3,GB,9,318.4198424593328
a7,Linear,0,416.04997847299717
a7,KNN,0,454.38356
a7,SVR,0,500.85058844951755
a7,DT,0,454.03689999999995
a7,RF,0,401.87964465499994
a7,GB,0,396.21231300559833
a7,Linear,1,873.7799884759405
a7,KNN,1,729.5827300000001
a7,SVR,1,1085.892096246527
a7,DT,1,840.6944
a7,RF,1,490.2283768799996
a7,GB,1,591.7252198274572
a7,Linear,2,122.82527554162749
a7,KNN,2,142.18724000000006
a7,SVR,2,137.97403854321973
a7,DT,2,207.4873
a7,RF,2,108.537273465
a7,GB,2,119.39221405698956
a7,Linear,3,140.742947736172
a7,KNN,3,193.79895599999998
a7,SVR,3,214.0952892880633
a7,DT,3,823.7171500000002
a7,RF,3,379.73585042
a7,GB,3,571.414235923847
a7,Linear,4,777.5558891686311
a7,KNN,4,1006.4811340000001
a7,SVR,4,994.5345830325091
a7,DT,4,118.71690000000001
a7,RF,4,503.3645375199998
a7,GB,4,351.6730847320814
a7,Linear,5,356.14963941744907
a7,KNN,5,512.865542
a7,SVR,5,475.3229984842546
a7,DT,5,740.01825
a7,RF,5,140.41798088
a7,GB,5,124.24219843976073
a7,Linear,6,767.1747152189769
a7,KNN,6,826.068254
a7,SVR,6,860.6142351467689
a7,DT,6,832.3686500000001
a7,RF,6,829.3672479600001
