dataset,algoritmo,fold,sera
a1,Linear,0,69.62315795976868
a1,KNN,0,68.35728600000002
a1,SVR,0,61.35809040818236
a1,DT,0,57.700900000000004
a1,RF,0,52.31928706000002
a1,GB,0,51.77107328606502
a1,Linear,1,2602.463546162921
a1,KNN,1,2390.2917480000006
a1,SVR,1,2132.414561998924
a1,DT,1,8528.3011
a1,RF,1,2453.7740368000013
a1,GB,1,2733.9952931069465
a1,Linear,2,2063.565194387529
a1,KNN,2,2957.1727980000005
a1,SVR,2,1753.9374068954974
a1,DT,2,7433.187000000002
a1,RF,2,2282.7844695400004
a1,GB,2,2668.131422314515
a1,Linear,3,1489.4263656218363
a1,KNN,3,2865.924452
a1,SVR,3,1374.7669300958144
a1,DT,3,4332.52775
a1,RF,3,1204.0547473699985
a1,GB,3,1037.3665723459535
a1,Linear,4,81.4341155570509
a1,KNN,4,101.068602
a1,SVR,4,91.54896631993986
a1,DT,4,53.37360000000001
a1,RF,4,48.244513425000015
a1,GB,4,51.10086341840054
a1,Linear,5,95.45144892284547
a1,KNN,5,87.485438
a1,SVR,5,72.11483093775641
a1,DT,5,93.73210000000002
a1,RF,5,45.65309920500001
a1,GB,5,42.485321346715416
a1,Linear,6,2724.8072411172875
a1,KNN,6,2806.9899579999997
a1,SVR,6,726.8295453086483
a1,DT,6,1502.7222000000004
a1,RF,6,688.9237622250002
a1,GB,6,765.5776241479269
a1,Linear,7,58.03667331919763
a1,KNN,7,90.344878
a1,SVR,7,69.26696100395137
a1,DT,7,163.4908
a1,RF,7,39.27883134000004
a1,GB,7,36.6846329292132
a1,Linear,8,3216.4946134937913
a1,KNN,8,5760.351706
a1,SVR,8,3139.063909746916
a1,DT,8,6229.94275
a1,RF,8,5054.372045700002
a1,GB,8,5689.058474111163
a1,Linear,9,14025707.153114906
a1,KNN,9,7733.49028
a1,SVR,9,4456.599039326346
a1,DT,9,4745.895
a1,RF,9,4398.125295699999
a1,GB,9,5579.420953964924
a2,Linear,0,505.063979325499
a2,KNN,0,833.4952880000002
a2,SVR,0,136.62594483613722
a2,DT,0,1338.9678500000002
a2,RF,0,314.6001599899996
a2,GB,0,439.80134487341047
a2,Linear,1,1006.7669446972693
a2,KNN,1,591.9210700000001
a2,SVR,1,545.9705621133103
a2,DT,1,1270.9667000000002
a2,RF,1,472.3514271849999
a2,GB,1,843.7222660894405
a2,Linear,2,1096.9349995649634
a2,KNN,2,1250.8555
a2,SVR,2,872.4959808982636
a2,DT,2,1150.73545
a2,RF,2,829.4207658049993
a2,GB,2,963.5544312611042
a2,Linear,3,7208.317807506663
a2,KNN,3,6743.574772
a2,SVR,3,6080.862323255435
a2,DT,3,9871.46725
a2,RF,3,7841.181839209998
a2,GB,3,7706.680159105831
a2,Linear,4,1298.3131826739536
a2,KNN,4,1653.0974199999998
a2,SVR,4,798.7431771822611
a2,DT,4,1689.4588499999998
